state,x,y
Satu Mare,-127,153
Maramures,-63,151
Bistrita Nasaud, -28,118
Suceava,43,146
Botosani,99,169
Bihor,-172,99
Salaj,-109,109
Cluj,-82,73
Mures,-14,61
Harghita,31,51
Neamt,80,97
Iasi,127,120
Arad,-188,37
Alba,-85,26
Sibiu,-42,-4
Brasov,15,-11
Covasna,58,2
Bacau,102,43
Vaslui,164,56
Timis,-222,-11
Hunedoara,-118,-11
Buzau,100,-50
Galati,160,-8
Caras Severin,-176,-60
Gorj,-96,-73
Valcea,-51,-64
Arges,-12,-67
Dambovita,26,-77
Prahova,60,-65
Vrancea,110,-10
Braila,161,-67
Tulcea,239,-69
Mehedinti,-131,-107
Dolj,-82,-149
Olt,-31,-135
Teleorman,9,-154
Giurgiu,60,-148
Ilfov,65,-113
Bucuresti,67,-128
Calarasi,122,-136
Ialomita,135,-109
Constanta,195,-146
